b, 6.075, 0, 72, 72, 31, 31
s, 3.893, 0, 61, 61, 29, 29
b, 13.546, 0, 215, 215, 28, 28
s, 7.525, 0, 92, 92, 39, 39
n, 6.125, 10, 10, 0, 24, 34
s, 5.175, 0, 154, 154, 23, 23
s, 9.426, 0, 143, 143, 37, 37
n, 6.807, 0, 92, 92, 36, 36
b, 21.61, 0, 174, 174, 22, 22
b, 3.108, 0, 236, 236, 32, 32
n, 2.374, 0, 255, 255, 38, 38
b, 7.691, 10, 215, 225, 42, 21
n, 7.193, 31, 164, 195, 22, 30
b, 18.326, 0, 133, 133, 34, 34
n, 6.474, 10, 10, 0, 30, 44
s, 18.509, 0, 113, 113, 32, 32
b, 13.373, 0, 10, 10, 25, 25
b, 24.96, 31, 133, 102, 43, 39
n, 7.841, 10, 82, 92, 24, 32
b, 28.377, 0, 31, 31, 35, 35
s, 17.492, 11, 102, 113, 36, 27
n, 8.309, 11, 236, 225, 31, 20
s, 8.242, 0, 225, 225, 40, 40
n, 7.142, 0, 10, 10, 30, 30
n, 3.707, 11, 20, 31, 25, 44
n, 5.924, 10, 113, 123, 38, 36
s, 4.058, 0, 246, 246, 21, 21
b, 7.742, 10, 215, 225, 41, 25
s, 14.527, 0, 225, 225, 31, 31
s, 15.426, 31, 61, 92, 40, 43
