s, 11.952, 0, 20, 20, 34, 34
s, 27.686, 0, 12, 12, 25, 25
b, 4.496, 0, 19, 19, 29, 29
s, 26.318, 0, 19, 19, 22, 22
b, 4.306, 0, 23, 23, 26, 26
n, 5.823, 1, 8, 7, 31, 42
b, 10.326, 0, 4, 4, 22, 22
b, 13.662, 0, 10, 10, 34, 34
b, 6.02, 1, 21, 20, 21, 29
s, 26.502, 0, 16, 16, 35, 35
n, 3.492, 1, 1, 2, 39, 23
n, 11.493, 1, 19, 18, 26, 43
s, 6.738, 0, 4, 4, 24, 24
s, 4.46, 0, 24, 24, 29, 29
b, 8.902, 0, 6, 6, 22, 22
b, 9.916, 0, 18, 18, 31, 31
n, 13.115, 0, 1, 1, 21, 21
n, 3.497, 0, 0, 0, 26, 26
n, 3.727, 0, 1, 1, 21, 21
b, 11.45, 0, 17, 17, 35, 35
s, 8.646, 1, 21, 20, 41, 36
n, 4.015, 1, 6, 5, 40, 22
n, 4.465, 0, 12, 12, 27, 27
s, 4.443, 0, 22, 22, 41, 41
b, 7.059, 0, 0, 0, 31, 31
n, 2.305, 1, 2, 1, 40, 42
s, 23.722, 0, 11, 11, 25, 25
s, 8.813, 0, 16, 16, 33, 33
b, 7.729, 0, 22, 22, 24, 24
n, 8.062, 1, 19, 18, 31, 33
