b, 28.105, 1, 2, 3, 33, 34
s, 14.757, 0, 18, 18, 35, 35
n, 12.661, 0, 10, 10, 27, 27
b, 6.859, 3, 8, 11, 27, 44
b, 11.009, 0, 26, 26, 44, 44
s, 10.484, 2, 4, 2, 34, 31
n, 5.996, 0, 22, 22, 42, 42
n, 18.883, 0, 15, 15, 33, 33
b, 9.137, 0, 26, 26, 35, 35
b, 18.106, 1, 20, 21, 27, 28
n, 5.237, 0, 22, 22, 23, 23
s, 28.809, 0, 19, 19, 23, 23
s, 4.183, 1, 14, 15, 24, 20
n, 3.045, 1, 16, 15, 27, 40
n, 9.157, 0, 22, 22, 40, 40
n, 25.659, 2, 10, 12, 20, 38
s, 18.737, 1, 21, 22, 41, 38
s, 9.167, 1, 4, 3, 29, 27
b, 14.105, 1, 1, 0, 42, 33
b, 20.085, 0, 0, 0, 38, 38
n, 6.731, 1, 23, 22, 29, 23
s, 12.1, 1, 12, 13, 28, 20
s, 11.571, 0, 16, 16, 30, 30
b, 6.858, 0, 25, 25, 42, 42
s, 1.889, 0, 26, 26, 37, 37
b, 6.983, 0, 24, 24, 25, 25
n, 10.262, 1, 15, 14, 32, 20
s, 2.868, 0, 26, 26, 21, 21
b, 9.356, 1, 22, 23, 37, 34
n, 14.878, 1, 1, 0, 24, 34
