n, 14.963, 0, 6, 6, 36, 36
b, 83.851, 0, 21, 21, 31, 31
b, 100.518, 4, 4, 0, 41, 24
b, 54.148, 0, 12, 12, 33, 33
s, 20.667, 0, 26, 26, 38, 38
n, 40.03, 1, 11, 10, 28, 29
n, 8.332, 0, 6, 6, 31, 31
n, 7.229, 1, 11, 10, 41, 32
b, 43.779, 0, 22, 22, 27, 27
s, 68.551, 0, 21, 21, 28, 28
s, 17.159, 0, 24, 24, 23, 23
n, 11.196, 0, 12, 12, 40, 40
s, 54.133, 0, 19, 19, 32, 32
s, 54.022, 0, 13, 13, 30, 30
n, 9.82, 2, 0, 2, 26, 41
b, 21.461, 0, 23, 23, 42, 42
b, 43.933, 0, 20, 20, 27, 27
b, 23.365, 0, 6, 6, 21, 21
n, 32.781, 1, 13, 14, 22, 30
n, 13.881, 1, 1, 2, 30, 43
n, 7.396, 1, 11, 12, 28, 39
s, 31.735, 0, 10, 10, 42, 42
n, 24.514, 1, 22, 21, 40, 40
s, 96.363, 0, 20, 20, 30, 30
b, 50.727, 0, 7, 7, 37, 37
s, 12.497, 0, 24, 24, 43, 43
b, 13.032, 0, 10, 10, 40, 40
b, 54.834, 0, 19, 19, 42, 42
s, 60.464, 0, 13, 13, 22, 22
s, 65.729, 0, 21, 21, 42, 42
