s, 11.307, 0, 5, 5, 23, 23
b, 45.072, 2, 22, 20, 28, 34
s, 7.058, 0, 20, 20, 27, 27
s, 8.979, 0, 16, 16, 40, 40
s, 2.029, 0, 20, 20, 39, 39
b, 6.041, 0, 17, 17, 43, 43
b, 29.145, 0, 1, 1, 34, 34
n, 8.666, 0, 1, 1, 32, 32
b, 7.597, 1, 21, 20, 27, 32
b, 10.505, 0, 11, 11, 23, 23
n, 5.031, 0, 12, 12, 27, 27
s, 6.194, 0, 7, 7, 26, 26
n, 6.127, 2, 23, 21, 36, 42
s, 27.721, 0, 14, 14, 28, 28
b, 6.523, 0, 15, 15, 32, 32
n, 2.252, 0, 26, 26, 26, 26
n, 7.257, 0, 3, 3, 41, 41
b, 12.332, 1, 23, 22, 38, 44
s, 10.899, 0, 2, 2, 28, 28
n, 5.147, 0, 15, 15, 29, 29
b, 3.438, 0, 26, 26, 25, 25
n, 15.17, 0, 5, 5, 43, 43
b, 9.645, 0, 24, 24, 23, 23
n, 9.92, 1, 15, 16, 20, 40
s, 11.615, 3, 24, 21, 33, 31
n, 9.071, 1, 1, 0, 22, 43
b, 27.424, 2, 16, 18, 39, 27
n, 12.58, 0, 11, 11, 27, 27
s, 4.183, 0, 18, 18, 37, 37
s, 10.313, 0, 23, 23, 23, 23
