s, 5.475, 2, 16, 14, 28, 36
n, 0.0, 6, 10, 4, 37, 36
n, 3.991, 0, 0, 0, 42, 42
n, 7.042, 6, 9, 15, 40, 28
n, 4.241, 0, 0, 0, 32, 32
n, 4.392, 5, 23, 18, 29, 29
s, 0.001, 8, 26, 18, 27, 24
s, 4.992, 1, 2, 1, 25, 30
n, 8.174, 1, 17, 16, 26, 27
b, 0.001, 11, 7, 18, 35, 39
s, 8.659, 1, 11, 12, 37, 20
s, 6.108, 0, 7, 7, 29, 29
s, 3.326, 1, 13, 14, 20, 29
b, 4.426, 0, 20, 20, 26, 26
b, 0.001, 4, 13, 17, 27, 31
n, 10.475, 0, 12, 12, 30, 30
s, 4.995, 1, 1, 2, 44, 39
b, 0.0, 4, 12, 16, 34, 43
n, 5.342, 1, 11, 12, 41, 30
s, 0.001, 14, 18, 4, 22, 41
b, 5.342, 4, 17, 21, 29, 37
b, 0.001, 17, 24, 7, 43, 37
n, 12.543, 4, 8, 12, 23, 25
s, 4.825, 2, 8, 6, 40, 33
b, 0.001, 2, 18, 20, 22, 25
b, 3.176, 1, 19, 18, 31, 35
n, 0.0, 8, 19, 11, 37, 36
b, 3.591, 1, 6, 7, 31, 25
b, 0.001, 1, 11, 10, 38, 42
s, 4.358, 0, 14, 14, 25, 25
