n, 5.662, 1, 14, 13, 38, 25
n, 12.845, 1, 17, 16, 22, 34
n, 4.793, 1, 7, 6, 21, 40
n, 5.479, 1, 8, 9, 44, 30
b, 10.874, 2, 8, 6, 27, 39
b, 5.7, 0, 26, 26, 41, 41
s, 11.397, 1, 9, 8, 24, 26
b, 5.33, 2, 25, 23, 38, 31
b, 5.544, 0, 18, 18, 29, 29
n, 0.0, 19, 3, 22, 24, 22
s, 0.0, 13, 11, 24, 25, 22
s, 4.572, 0, 4, 4, 34, 34
s, 6.335, 0, 9, 9, 26, 26
s, 4.411, 0, 1, 1, 37, 37
b, 6.781, 1, 25, 24, 44, 21
b, 2.584, 1, 24, 23, 27, 42
s, 5.188, 1, 23, 22, 27, 27
s, 0.0, 1, 20, 19, 31, 26
n, 9.953, 1, 12, 13, 39, 29
n, 8.46, 1, 4, 3, 35, 31
b, 6.7, 0, 21, 21, 43, 43
s, 5.243, 0, 24, 24, 41, 41
b, 6.44, 2, 20, 22, 24, 27
n, 3.39, 1, 10, 11, 22, 40
b, 3.534, 0, 18, 18, 38, 38
b, 2.983, 0, 14, 14, 43, 43
s, 2.0, 1, 10, 11, 42, 20
n, 3.903, 0, 0, 0, 37, 37
s, 5.95, 1, 0, 1, 30, 36
n, 6.682, 1, 22, 21, 21, 34
