s, 2.241, 1, 5, 6, 32, 29
b, 2.661, 2, 8, 6, 27, 41
b, 3.116, 0, 2, 2, 20, 20
b, 3.931, 1, 20, 19, 31, 41
n, 3.84, 1, 0, 1, 27, 44
s, 1.57, 0, 2, 2, 35, 35
s, 4.03, 4, 20, 16, 44, 29
s, 2.23, 2, 4, 2, 21, 31
n, 2.331, 0, 26, 26, 20, 20
s, 2.75, 1, 5, 4, 24, 42
s, 4.943, 3, 14, 11, 35, 40
n, 3.276, 0, 1, 1, 23, 23
s, 2.167, 1, 2, 1, 28, 43
s, 3.585, 1, 24, 23, 36, 44
n, 2.3, 1, 22, 21, 39, 25
b, 2.05, 0, 18, 18, 35, 35
b, 3.106, 2, 12, 14, 43, 44
n, 2.833, 0, 19, 19, 42, 42
n, 3.29, 1, 11, 12, 40, 22
b, 1.892, 0, 4, 4, 44, 44
b, 3.053, 2, 3, 1, 36, 41
b, 2.63, 2, 24, 22, 34, 39
n, 2.571, 0, 24, 24, 40, 40
b, 3.754, 0, 4, 4, 23, 23
b, 2.53, 3, 18, 15, 35, 22
n, 1.526, 0, 17, 17, 27, 27
s, 2.845, 0, 13, 13, 28, 28
n, 3.41, 6, 9, 15, 27, 21
s, 2.69, 4, 13, 17, 21, 36
n, 2.18, 2, 5, 3, 39, 27
