b, 27.566, 0, 2, 2, 30, 30
s, 16.998, 0, 26, 26, 21, 21
s, 7.06, 0, 0, 0, 35, 35
b, 7.719, 0, 1, 1, 23, 23
n, 9.859, 0, 12, 12, 24, 24
n, 10.943, 1, 2, 1, 41, 42
n, 9.357, 1, 2, 1, 21, 23
s, 32.408, 0, 11, 11, 43, 43
n, 11.337, 1, 6, 7, 42, 28
b, 17.303, 0, 19, 19, 24, 24
b, 18.521, 0, 26, 26, 37, 37
s, 19.783, 0, 6, 6, 25, 25
s, 27.785, 1, 9, 10, 42, 26
n, 7.051, 0, 24, 24, 38, 38
b, 41.856, 0, 16, 16, 27, 27
b, 6.452, 0, 25, 25, 21, 21
n, 8.711, 2, 17, 15, 27, 39
s, 11.213, 0, 1, 1, 41, 41
b, 13.982, 0, 15, 15, 30, 30
n, 8.813, 1, 2, 1, 23, 44
b, 3.783, 0, 24, 24, 36, 36
s, 18.914, 0, 17, 17, 25, 25
s, 40.241, 0, 11, 11, 27, 27
s, 10.218, 4, 21, 17, 42, 24
n, 11.296, 0, 9, 9, 36, 36
n, 5.584, 0, 19, 19, 43, 43
n, 7.693, 1, 10, 11, 42, 41
b, 26.208, 0, 24, 24, 22, 22
b, 20.058, 0, 19, 19, 39, 39
s, 17.466, 0, 12, 12, 22, 22
