n, 13.984, 1, 22, 21, 23, 35
s, 11.148, 0, 8, 8, 42, 42
b, 5.599, 0, 25, 25, 29, 29
b, 9.653, 0, 20, 20, 38, 38
b, 16.325, 0, 14, 14, 39, 39
n, 12.157, 1, 21, 22, 38, 33
b, 9.703, 0, 3, 3, 34, 34
b, 6.025, 0, 26, 26, 20, 20
b, 15.456, 2, 19, 17, 30, 37
b, 19.673, 0, 2, 2, 32, 32
n, 4.132, 2, 14, 16, 29, 34
n, 8.57, 2, 10, 12, 27, 44
n, 7.671, 1, 18, 19, 28, 41
s, 19.653, 0, 5, 5, 29, 29
s, 7.7, 0, 3, 3, 28, 28
s, 12.641, 0, 12, 12, 25, 25
s, 16.521, 0, 23, 23, 43, 43
n, 10.974, 0, 16, 16, 30, 30
s, 22.633, 0, 23, 23, 23, 23
n, 9.372, 0, 5, 5, 38, 38
b, 9.2, 0, 0, 0, 42, 42
n, 4.899, 0, 7, 7, 20, 20
s, 16.715, 0, 16, 16, 30, 30
s, 8.376, 0, 3, 3, 25, 25
n, 9.923, 0, 16, 16, 22, 22
n, 7.277, 2, 6, 4, 28, 42
s, 13.716, 0, 14, 14, 34, 34
s, 28.023, 0, 11, 11, 28, 28
b, 24.022, 0, 11, 11, 34, 34
b, 16.14, 0, 15, 15, 20, 20
