s, 18.433, 0, 5, 5, 33, 33
n, 17.595, 0, 8, 8, 25, 25
b, 5.833, 2, 21, 19, 31, 40
n, 20.329, 1, 24, 23, 44, 32
b, 40.032, 4, 17, 13, 38, 27
n, 8.075, 2, 23, 21, 29, 24
s, 17.363, 0, 21, 21, 42, 42
b, 28.152, 0, 21, 21, 27, 27
s, 11.68, 0, 1, 1, 28, 28
s, 26.665, 1, 7, 8, 26, 29
n, 22.466, 2, 11, 13, 24, 28
b, 22.149, 1, 11, 10, 44, 27
s, 19.581, 3, 10, 7, 21, 40
b, 5.571, 0, 1, 1, 33, 33
s, 8.437, 0, 14, 14, 42, 42
b, 12.259, 0, 0, 0, 26, 26
s, 22.867, 1, 13, 14, 29, 28
b, 17.625, 2, 7, 5, 38, 32
b, 22.837, 2, 21, 23, 39, 29
b, 17.801, 0, 13, 13, 26, 26
n, 11.28, 1, 1, 2, 27, 26
n, 6.282, 0, 0, 0, 42, 42
b, 27.787, 0, 19, 19, 36, 36
n, 6.53, 1, 4, 3, 28, 30
s, 22.167, 0, 4, 4, 21, 21
n, 7.491, 1, 19, 20, 44, 35
s, 16.895, 0, 26, 26, 37, 37
s, 24.28, 1, 13, 14, 28, 43
n, 14.88, 0, 19, 19, 39, 39
n, 9.213, 2, 20, 22, 21, 24
