s, 9.144, 1, 22, 23, 21, 20
b, 7.159, 0, 18, 18, 36, 36
b, 11.028, 0, 4, 4, 34, 34
s, 3.643, 0, 6, 6, 36, 36
s, 11.495, 1, 12, 13, 37, 37
n, 7.975, 1, 15, 14, 23, 41
b, 10.227, 1, 15, 16, 34, 44
s, 4.309, 0, 13, 13, 30, 30
n, 9.975, 1, 4, 3, 24, 33
n, 3.991, 1, 14, 13, 24, 38
s, 9.792, 1, 26, 25, 41, 21
n, 8.125, 1, 24, 23, 23, 29
s, 4.926, 1, 13, 14, 23, 33
b, 8.011, 0, 21, 21, 39, 39
b, 3.81, 2, 9, 7, 43, 34
s, 12.126, 1, 3, 4, 36, 40
b, 0.001, 18, 2, 20, 25, 38
s, 5.892, 1, 4, 5, 21, 40
n, 6.308, 1, 17, 16, 28, 30
n, 5.24, 1, 22, 21, 31, 21
n, 7.108, 1, 24, 23, 21, 34
n, 6.491, 1, 20, 21, 31, 43
s, 4.942, 1, 15, 14, 37, 42
b, 3.275, 1, 16, 15, 36, 26
b, 6.508, 0, 15, 15, 29, 29
n, 4.642, 3, 16, 13, 25, 37
n, 4.842, 1, 0, 1, 20, 20
s, 3.327, 0, 6, 6, 38, 38
b, 9.992, 0, 20, 20, 32, 32
b, 8.259, 1, 8, 7, 30, 36
